timestamp,day_ahead_price,load_forecast,actual_load,wind_forecast,hydro_run_of_river,hydro_reservoir,price_lag_24h,price_lag_168h,actual_load_lag_24h,actual_load_lag_168h,hydro_run_of_river_lag_24h,hydro_run_of_river_lag_168h,hydro_reservoir_lag_24h,hydro_reservoir_lag_168h,hour,day_of_week,month,year,is_weekend
2017-12-31 23:00:00+00:00,26.33,,,,,,,,,,,,,,23,6,12,2017,1
2018-01-01 00:00:00+00:00,26.43,4791.93,4721.91,0.0,665.33,766.26,,,,,,,,,0,0,1,2018,0
2018-01-01 01:00:00+00:00,26.1,4679.45,4616.58,,662.85,754.79,,,,,,,,,1,0,1,2018,0
2018-01-01 02:00:00+00:00,24.7,4573.31,4491.76,,662.24,747.97,,,,,,,,,2,0,1,2018,0
2018-01-01 03:00:00+00:00,24.74,4559.58,4491.49,,666.48,764.02,,,,,,,,,3,0,1,2018,0
2018-01-01 04:00:00+00:00,24.76,4573.27,4504.3,,666.67,777.35,,,,,,,,,4,0,1,2018,0
2018-01-01 05:00:00+00:00,24.98,4730.19,4678.8,,666.46,806.32,,,,,,,,,5,0,1,2018,0
2018-01-01 06:00:00+00:00,25.71,4808.14,4757.25,,659.29,806.29,,,,,,,,,6,0,1,2018,0
2018-01-01 07:00:00+00:00,25.48,4916.99,4863.45,,660.72,848.66,,,,,,,,,7,0,1,2018,0
2018-01-01 08:00:00+00:00,25.54,5024.97,4981.37,,679.47,908.23,,,,,,,,,8,0,1,2018,0
2018-01-01 09:00:00+00:00,26.07,5158.36,5119.15,,682.67,945.09,,,,,,,,,9,0,1,2018,0
2018-01-01 10:00:00+00:00,26.12,5280.0,5238.49,,683.53,945.96,,,,,,,,,10,0,1,2018,0
2018-01-01 11:00:00+00:00,26.16,5350.89,5324.03,,682.56,974.79,,,,,,,,,11,0,1,2018,0
2018-01-01 12:00:00+00:00,26.19,5415.35,5394.13,,683.1,929.92,,,,,,,,,12,0,1,2018,0
2018-01-01 13:00:00+00:00,,5445.12,5414.6,,681.88,909.76,,,,,,,,,13,0,1,2018,0
2018-01-01 14:00:00+00:00,26.46,5525.55,5490.17,,681.4,950.42,,,,,,,,,14,0,1,2018,0
2018-01-01 15:00:00+00:00,27.03,5612.91,5580.27,,679.82,996.36,,,,,,,,,15,0,1,2018,0
2018-01-01 16:00:00+00:00,27.43,5555.13,5523.67,,682.82,1017.69,,,,,,,,,16,0,1,2018,0
